SECTOR,COMPANIA_ID,PROVINCIA,TIPOEMPRESA,SECTOR_ID,HERRAMIENTA,NUBE,RECURSOSENLANUBE,CANTIDADEMPLEADOS,VISUALIZACION,VENTAS
SERVICIOS,1157,SAN JOSE,PYMES,2,1,1,6,4,1,85771
SERVICIOS,1027,PUNTARENAS,MEDIANA,2,0,0,0,46,0,1133723
COMERCIO,993,SAN JOSE,PYMES,6,0,0,0,7,0,88888
AGRIGULTURA,90,LIMON,PEQUEÑA,3,4,1,35,20,2,261617
MANUFACTURA,952,CARTAGO,PYMES,5,0,0,0,6,0,109121
MANUFACTURA,1286,PUNTARENAS,PEQUEÑA,5,0,0,0,22,0,285314
COMERCIO,569,HEREDIA,PEQUEÑA,6,0,0,0,34,0,158506
BIENES RAICES,1289,CARTAGO,MEDIANA,4,0,0,0,54,0,953596
HOTELERIA,1112,CARTAGO,PYMES,1,0,0,0,6,0,15609
HOTELERIA,7,PUNTARENAS,MEDIANA,1,0,0,0,39,0,668820
AGRIGULTURA,1084,SAN JOSE,GRANDE,3,0,0,0,240,0,10147830
SERVICIOS,1047,SAN JOSE,PEQUEÑA,2,1,1,25,11,4,338167
COMERCIO,505,LIMON,PYMES,6,0,0,0,9,0,61610
HOTELERIA,281,SAN JOSE,GRANDE,1,3,1,616,690,1,20616015
HOTELERIA,856,LIMON,PYMES,1,4,1,6,9,3,51290
COMERCIO,292,SAN JOSE,MEDIANA,6,0,0,0,44,0,979785
COMERCIO,1588,GUANACASTE,MEDIANA,6,0,0,0,96,0,1012149
BIENES RAICES,1729,CARTAGO,MEDIANA,4,2,1,48,100,1,964650
SERVICIOS,529,PUNTARENAS,MEDIANA,2,2,1,88,100,0,365487
HOTELERIA,557,PUNTARENAS,PYMES,1,0,0,0,8,0,21653
AGRIGULTURA,960,HEREDIA,MEDIANA,3,0,0,0,98,0,496309
SERVICIOS,692,ALAJUELA,MEDIANA,2,4,1,70,57,4,712878
SERVICIOS,1662,GUANACASTE,MEDIANA,2,0,0,0,82,0,838802
HOTELERIA,1633,GUANACASTE,PEQUEÑA,1,0,0,0,34,0,203911
COMERCIO,1574,LIMON,PYMES,6,2,1,2,7,4,29890
HOTELERIA,1405,ALAJUELA,MEDIANA,1,2,1,88,94,2,828600
SERVICIOS,1007,SAN JOSE,PYMES,2,3,1,4,5,3,40988
HOTELERIA,1586,PUNTARENAS,MEDIANA,1,4,1,76,36,1,864490
SERVICIOS,761,ALAJUELA,MEDIANA,2,2,1,69,57,0,623193
HOTELERIA,354,PUNTARENAS,MEDIANA,1,2,1,74,71,1,1068281
AGRIGULTURA,566,PUNTARENAS,MEDIANA,3,0,0,0,62,0,983888
SERVICIOS,1363,SAN JOSE,PEQUEÑA,2,0,0,0,12,0,285057
COMERCIO,64,ALAJUELA,PEQUEÑA,6,2,1,23,34,3,319218
COMERCIO,1188,LIMON,GRANDE,6,1,1,440,631,1,8096601
BIENES RAICES,1282,HEREDIA,MEDIANA,4,2,1,54,40,3,615271
COMERCIO,1020,GUANACASTE,PYMES,6,0,0,0,6,0,15899
AGRIGULTURA,1634,HEREDIA,GRANDE,3,0,0,0,168,0,4748190
MANUFACTURA,1088,LIMON,MEDIANA,5,0,0,0,99,0,555940
AGRIGULTURA,110,LIMON,PYMES,3,0,0,0,7,0,40852
HOTELERIA,1379,HEREDIA,PEQUEÑA,1,0,0,0,30,0,377862
AGRIGULTURA,713,GUANACASTE,PYMES,3,0,0,0,6,0,76399
MANUFACTURA,623,SAN JOSE,GRANDE,5,4,1,281,737,2,2905594
BIENES RAICES,1714,CARTAGO,PYMES,4,0,0,0,6,0,89440
SERVICIOS,1359,GUANACASTE,PEQUEÑA,2,3,1,34,32,4,383716
SERVICIOS,1261,HEREDIA,MEDIANA,2,0,0,0,54,0,1023660
MANUFACTURA,988,GUANACASTE,PEQUEÑA,5,0,0,0,21,0,338211
SERVICIOS,138,PUNTARENAS,GRANDE,2,4,1,571,348,1,23025233
BIENES RAICES,1546,SAN JOSE,GRANDE,4,3,1,177,168,1,3831999
SERVICIOS,263,HEREDIA,PYMES,2,3,1,4,8,3,63895
MANUFACTURA,903,HEREDIA,PYMES,5,4,1,5,7,2,51596
AGRIGULTURA,371,CARTAGO,GRANDE,3,4,1,741,399,0,23703754
HOTELERIA,14,GUANACASTE,MEDIANA,1,0,0,0,63,0,863463
MANUFACTURA,1596,HEREDIA,MEDIANA,5,2,1,52,100,1,960528
BIENES RAICES,19,ALAJUELA,PYMES,4,1,1,5,6,1,113163
SERVICIOS,1022,PUNTARENAS,GRANDE,2,0,0,0,302,0,17055805
BIENES RAICES,1012,PUNTARENAS,PYMES,4,0,0,0,8,0,21945
BIENES RAICES,755,ALAJUELA,PEQUEÑA,4,4,1,18,23,1,261010
HOTELERIA,688,CARTAGO,PYMES,1,0,0,0,4,0,72146
BIENES RAICES,1576,HEREDIA,PEQUEÑA,4,4,1,35,17,1,218566
SERVICIOS,55,ALAJUELA,GRANDE,2,0,0,0,976,0,16058109
SERVICIOS,549,SAN JOSE,PEQUEÑA,2,1,1,33,13,0,279522
SERVICIOS,259,ALAJUELA,PEQUEÑA,2,2,1,17,24,0,226469
COMERCIO,736,LIMON,MEDIANA,6,0,0,0,65,0,746925
SERVICIOS,1381,CARTAGO,PEQUEÑA,2,1,1,13,29,3,130752
HOTELERIA,895,SAN JOSE,PEQUEÑA,1,0,0,0,21,0,370325
COMERCIO,943,ALAJUELA,MEDIANA,6,0,0,0,63,0,1128968
AGRIGULTURA,719,HEREDIA,PEQUEÑA,3,4,1,10,30,4,374662
BIENES RAICES,422,SAN JOSE,MEDIANA,4,4,1,53,47,0,461671
SERVICIOS,838,PUNTARENAS,MEDIANA,2,0,0,0,83,0,851210
COMERCIO,1504,ALAJUELA,PYMES,6,0,0,0,4,0,99207
AGRIGULTURA,411,SAN JOSE,PEQUEÑA,3,0,0,0,34,0,306616
SERVICIOS,1709,CARTAGO,GRANDE,2,2,1,898,796,3,21795737
HOTELERIA,798,HEREDIA,GRANDE,1,0,0,0,167,0,24917094
SERVICIOS,1210,SAN JOSE,PYMES,2,1,1,5,4,3,25692
COMERCIO,6,GUANACASTE,MEDIANA,6,1,1,75,63,1,977502
SERVICIOS,1479,CARTAGO,PEQUEÑA,2,2,1,32,10,1,388195
HOTELERIA,1427,CARTAGO,PYMES,1,0,0,0,9,0,43306
AGRIGULTURA,118,ALAJUELA,PYMES,3,0,0,0,3,0,113952
HOTELERIA,604,LIMON,GRANDE,1,2,1,598,929,4,14248141
HOTELERIA,465,LIMON,GRANDE,1,1,1,161,737,2,3026553
SERVICIOS,59,LIMON,GRANDE,2,1,1,185,997,0,1126328
HOTELERIA,1051,CARTAGO,PEQUEÑA,1,4,1,20,16,0,187141
BIENES RAICES,907,LIMON,PEQUEÑA,4,0,0,0,33,0,186831
MANUFACTURA,751,HEREDIA,GRANDE,5,0,0,0,841,0,7937117
AGRIGULTURA,1712,HEREDIA,MEDIANA,3,2,1,46,75,3,659592
COMERCIO,35,PUNTARENAS,MEDIANA,6,2,1,60,83,1,360220
MANUFACTURA,1181,HEREDIA,GRANDE,5,0,0,0,953,0,16040793
HOTELERIA,1160,PUNTARENAS,MEDIANA,1,0,0,0,86,0,553666
COMERCIO,1354,SAN JOSE,GRANDE,6,1,1,918,568,2,10540596
MANUFACTURA,1664,CARTAGO,PEQUEÑA,5,0,0,0,32,0,106796
MANUFACTURA,1082,GUANACASTE,PEQUEÑA,5,0,0,0,30,0,419097
BIENES RAICES,345,CARTAGO,PYMES,4,3,1,6,5,0,91262
SERVICIOS,197,LIMON,GRANDE,2,0,0,0,309,0,10462761
BIENES RAICES,774,GUANACASTE,PEQUEÑA,4,0,0,0,17,0,313870
MANUFACTURA,753,SAN JOSE,PEQUEÑA,5,1,1,29,29,4,207952
BIENES RAICES,1239,GUANACASTE,MEDIANA,4,1,1,40,37,3,538221
COMERCIO,1078,ALAJUELA,PYMES,6,0,0,0,6,0,86389
AGRIGULTURA,1719,GUANACASTE,GRANDE,3,0,0,0,951,0,17697415
COMERCIO,120,ALAJUELA,MEDIANA,6,1,1,78,58,2,800385
SERVICIOS,1625,SAN JOSE,MEDIANA,2,0,0,0,77,0,960226
BIENES RAICES,983,ALAJUELA,PEQUEÑA,4,3,1,25,24,2,134071
BIENES RAICES,1413,LIMON,PEQUEÑA,4,0,0,0,35,0,214603
MANUFACTURA,159,HEREDIA,MEDIANA,5,0,0,0,65,0,945849
AGRIGULTURA,1740,SAN JOSE,MEDIANA,3,0,0,0,75,0,1091947
SERVICIOS,393,CARTAGO,PYMES,2,0,0,0,5,0,20424
MANUFACTURA,124,GUANACASTE,MEDIANA,5,0,0,0,46,0,488049
BIENES RAICES,842,HEREDIA,GRANDE,4,0,0,0,731,0,15170232
AGRIGULTURA,3,GUANACASTE,PEQUEÑA,3,2,1,21,20,4,383544
COMERCIO,499,CARTAGO,MEDIANA,6,2,1,51,40,4,1072807
HOTELERIA,497,GUANACASTE,GRANDE,1,1,1,842,269,2,17944841
HOTELERIA,109,PUNTARENAS,PYMES,1,4,1,3,9,2,117448
SERVICIOS,1741,PUNTARENAS,PYMES,2,0,0,0,3,0,91869
SERVICIOS,795,CARTAGO,PEQUEÑA,2,0,0,0,13,0,321144
COMERCIO,507,LIMON,MEDIANA,6,0,0,0,36,0,840056
COMERCIO,793,LIMON,MEDIANA,6,3,1,90,42,2,548500
BIENES RAICES,1256,CARTAGO,PYMES,4,0,0,0,6,0,13436
AGRIGULTURA,1246,GUANACASTE,PEQUEÑA,3,1,1,11,19,0,243331
BIENES RAICES,448,SAN JOSE,PEQUEÑA,4,0,0,0,33,0,210749
SERVICIOS,527,ALAJUELA,PEQUEÑA,2,0,0,0,23,0,162272
SERVICIOS,1324,SAN JOSE,PYMES,2,0,0,0,3,0,64113
BIENES RAICES,136,SAN JOSE,GRANDE,4,0,0,0,368,0,21700318
BIENES RAICES,1053,GUANACASTE,PYMES,4,0,0,0,6,0,118242
MANUFACTURA,382,ALAJUELA,PEQUEÑA,5,0,0,0,16,0,309240
BIENES RAICES,1665,HEREDIA,PYMES,4,0,0,0,5,0,68465
MANUFACTURA,1169,PUNTARENAS,PEQUEÑA,5,4,1,26,13,1,201680
COMERCIO,1287,ALAJUELA,PEQUEÑA,6,0,0,0,28,0,217117
HOTELERIA,593,CARTAGO,GRANDE,1,0,0,0,450,0,15728788
COMERCIO,1340,HEREDIA,GRANDE,6,3,1,835,163,2,23049250
BIENES RAICES,195,SAN JOSE,PEQUEÑA,4,4,1,35,31,4,415207
COMERCIO,613,LIMON,PYMES,6,0,0,0,8,0,123095
SERVICIOS,177,PUNTARENAS,GRANDE,2,0,0,0,301,0,5408728
SERVICIOS,33,CARTAGO,PYMES,2,2,1,8,8,2,69912
SERVICIOS,731,GUANACASTE,GRANDE,2,0,0,0,639,0,18162169
AGRIGULTURA,811,HEREDIA,GRANDE,3,0,0,0,323,0,13579474
HOTELERIA,436,HEREDIA,GRANDE,1,1,1,373,838,2,8247912
MANUFACTURA,1086,CARTAGO,GRANDE,5,0,0,0,645,0,10483547
AGRIGULTURA,117,LIMON,GRANDE,3,0,0,0,464,0,3196700
AGRIGULTURA,524,LIMON,PEQUEÑA,3,4,1,11,19,4,227057
MANUFACTURA,732,CARTAGO,PYMES,5,3,1,9,6,2,14768
HOTELERIA,201,HEREDIA,PYMES,1,0,0,0,9,0,21379
MANUFACTURA,1217,GUANACASTE,PEQUEÑA,5,1,1,13,12,4,115165
COMERCIO,5,PUNTARENAS,MEDIANA,6,1,1,91,61,2,581671
